fname,lname,nickname,division,rank,style,country,debut
Khalil,Rountree Jr.,,Light Heavyweight,8,MMA,United States,2016-07-09
Volkan,Oezdemir,No Time,Light Heavyweight,9,Striker,Switzerland,2017-02-05
Anthony,Smith,Lionheart,Light Heavyweight,10,Freestyle,United States,2012-08-19
Carlos,Ulberg,Black Jag,Light Heavyweight,11,Kickboxer,New Zealand,2021-03-06
Bogdan,Guskov,Czarevitch,Light Heavyweight,12,MMA,Uzbekistan,2023-09-02
Alonzo,Menifield,Atomic,Light Heavyweight,13,Freestyle,United States,2019-01-19
Azamat,Murzakanov,Professional,Light Heavyweight,14,MMA,Russia,2021-11-20
Dominick,Reyes,The Devastator,Light Heavyweight,15,MMA,United States,2017-06-26
Ciryl,Gane,Bon Gamin,Heavyweight,2,Muay Thai,France,2019-08-10
Sergei,Pavlovich,,Heavyweight,3,MMA,Russia,2018-11-24
Curtis,Blaydes,Razor,Heavyweight,4,MMA,United States,2016-04-10
Alexander,Volkov,Drago,Heavyweight,5,Brazilian Jiu-Jitsu,Russia,2016-11-19
Stipe,Miocic,,Heavyweight,6,MMA,United States,2011-10-09
Jailton,Almeida,Malhadinho,Heavyweight,7,Boxing,Brazil,2021-11-13
Marcin,Tybura,Tybur,Heavyweight,8,MMA,Poland,2016-04-10
Serghei,Spivac,Polar Bear,Heavyweight,9,Sambo,Moldova,2019-05-04
Derrick,Lewis,The Black Beast,Heavyweight,10,Brawler,United States,2014-04-19
Tai,Tuivasa,Bam Bam,Heavyweight,11,MMA,Australia,2017-11-18
Jairzinho,Rozenstruik,Bigi Boy,Heavyweight,12,MMA,Suriname,2019-02-02
Alexandr,Romanov,King Kong,Heavyweight,13,Wrestler,Moldova,2020-04-25
Marcos,Rogerio de Lima,Pezao,Heavyweight,14,Striker,Brazil,2014-05-31
Rodrigo,Nascimento,Ze' Colmeia,Heavyweight,15,Jiu-Jitsu,Brazil,2019-07-30
Valentina,Shevchenko,Bullet,Women's Flyweight,1,Muay Thai,Kyrgyzstan,2015-12-19
Manon,Fiorot,The Beast,Women's Flyweight,2,Karate,France,2021-01-20
Julianna,Peña,The Venezuelan Vixen,Women's Bantamweight,1,Jiu-Jitsu,United States,2013-12-01
Rose,Namajunas,Thug,Women's Flyweight,6,MMA,United States,2014-12-12
Erin,Blanchfield,Cold Blooded,Women's Flyweight,3,Jiu-Jitsu,United States,2021-09-18
Tatiana,Suarez,,Women's Strawweight,1,MMA,United States,2016-07-09
Yan,Xiaonan,,Women's Strawweight,2,Striker,China,2017-11-25
Jéssica,Andrade,Bate Estaca,Women's Strawweight,4,Muay Thai,Brazil,2013-07-27
Amanda,Lemos,,Women's Strawweight,3,Boxing,Brazil,2017-07-16
Ketlen,Vieira,Fenomeno,Women's Bantamweight,2,Judo,Brazil,2016-10-02
Kayla,Harrison,,Women's Bantamweight,4,Judo,United States,2024-04-13
Maycee,Barber,The Future,Women's Flyweight,4,Freestyle,United States,2018-11-10
Virna,Jandiroba,Carcara,Women's Strawweight,5,Jiu-Jitsu,Brazil,2019-04-27
Marina,Rodriguez,,Women's Strawweight,6,Muay Thai,Brazil,2018-09-23
Mackenzie,Dern,,Women's Strawweight,7,Brazilian Jiu-Jitsu,United States,2018-03-03
Amanda,Ribas,,Women's Flyweight,9,Judo,Brazil,2019-06-29
Angela,Hill,Overkill,Women's Strawweight,9,Muay Thai,United States,2014-12-12
Loopy,Godinez,,Women's Strawweight,10,Boxing,Mexico,2021-04-17
Tabatha,Ricci,Baby Shark,Women's Strawweight,11,Judo,Brazil,2021-06-05
Luana,Pinheiro,,Women's Strawweight,12,Judo,Brazil,2021-03-27
Iasmin,Lucindo,,Women's Strawweight,13,Striker,Brazil,2022-08-13
Michelle,Waterson-Gomez,The Karate Hottie,Women's Strawweight,14,Karate,United States,2015-07-12
Gillian,Robertson,The Savage,Women's Strawweight,15,MMA,Canada,2017-12-01
Katlyn,Cerminara,Blonde Fighter,Women's Flyweight,7,MMA,United States,2016-07-14
Natalia,Silva,,Women's Flyweight,8,Taekwondo,Brazil,2022-06-18
Viviane,Araújo,Vivi,Women's Flyweight,10,MMA,Brazil,2019-05-11
Tracy,Cortez,,Women's Flyweight,11,MMA,United States,2019-11-16
Karine,Silva,Killer,Women's Flyweight,12,Brazilian Jiu-Jitsu,Brazil,2022-06-04
Ariane,da Silva,The Queen,Women's Flyweight,13,Striker,Brazil,2019-01-19
Casey,O'Neill,King,Women's Flyweight,14,MMA,Scotland,2021-02-20
Jasmine,Jasudavicius,,Women's Bantamweight,C,Brawler,Canada,2022-01-22
Mayra,Bueno Silva,Sheetara,Women's Bantamweight,3,Striker,Brazil,2018-09-23
Irene,Aldana,,Women's Bantamweight,5,Striker,Mexico,2016-12-18
Holly,Holm,The Preacher's Daughter,Women's Bantamweight,6,Kickboxer,United States,2015-02-28
Macy,Chiasson,,Women's Bantamweight,7,MMA,United States,2018-11-30
Miesha,Tate,Cupcake,Women's Bantamweight,8,Grappler,United States,2012-08-19
Karol,Rosa,,Women's Bantamweight,9,Muay Thai,Brazil,2019-08-31
Norma,Dumont,The Immortal,Women's Bantamweight,10,MMA,Brazil,2020-02-29
Pannie,Kianzad,Banzai,Women's Bantamweight,11,MMA,Iran,2018-11-30
Yana,Santos,,Women's Featherweight,C,MMA,Russia,2018-03-03
Julia,Avila,Raging Panda,Women's Bantamweight,13,MMA,United States,2019-07-06
Chelsea,Chandler,,Women's Bantamweight,14,MMA,United States,2022-10-01
Germaine,de Randamie,The Iron Lady,Women's Bantamweight,15,Muay Thai,Netherlands,2012-08-19
