fname,lname,nickname,division,rank,style,country,debut
Anthony,Smith,Lionheart,Light Heavyweight,12,Freestyle,United States,2012-08-19
Bogdan,Guskov,Czarevitch,Light Heavyweight,13,MMA,Uzbekistan,2023-09-02
Dominick,Reyes,The Devastator,Light Heavyweight,14,MMA,United States,2017-06-26
Ciryl,Gane,Bon Gamin,Heavyweight,2,Muay Thai,France,2019-08-10
Alexander,Volkov,Drago,Heavyweight,3,Brazilian Jiu-Jitsu,Russia,2016-11-19
Sergei,Pavlovich,,Heavyweight,4,MMA,Russia,2018-11-24
Curtis,Blaydes,Razor,Heavyweight,5,MMA,United States,2016-04-10
Stipe,Miocic,,Heavyweight,6,MMA,United States,2011-10-09
Jailton,Almeida,Malhadinho,Heavyweight,7,Boxing,Brazil,2021-11-13
Marcin,Tybura,Tybur,Heavyweight,8,MMA,Poland,2016-04-10
Serghei,Spivac,Polar Bear,Heavyweight,9,Sambo,Moldova,2019-05-04
Tai,Tuivasa,Bam Bam,Heavyweight,10,MMA,Australia,2017-11-18
Derrick,Lewis,The Black Beast,Heavyweight,11,Brawler,United States,2014-04-19
Jairzinho,Rozenstruik,Bigi Boy,Heavyweight,12,MMA,Suriname,2019-02-02
Alexandr,Romanov,King Kong,Heavyweight,13,Wrestler,Moldova,2020-04-25
Marcos,Rogerio de Lima,Pezao,Heavyweight,14,Striker,Brazil,2014-05-31
Rodrigo,Nascimento,Ze' Colmeia,Heavyweight,15,Jiu-Jitsu,Brazil,2019-07-30
Valentina,Shevchenko,Bullet,Women's Flyweight,1,Muay Thai,Kyrgyzstan,2015-12-19
Manon,Fiorot,The Beast,Women's Flyweight,2,Karate,France,2021-01-20
Julianna,Peña,The Venezuelan Vixen,Women's Bantamweight,1,Jiu-Jitsu,United States,2013-12-01
Rose,Namajunas,Thug,Women's Flyweight,5,MMA,United States,2014-12-12
Erin,Blanchfield,Cold Blooded,Women's Flyweight,3,Jiu-Jitsu,United States,2021-09-18
Tatiana,Suarez,,Women's Strawweight,1,MMA,United States,2016-07-09
Yan,Xiaonan,,Women's Strawweight,2,Striker,China,2017-11-25
Jéssica,Andrade,Bate Estaca,Women's Flyweight,6,Muay Thai,Brazil,2013-07-27
Kayla,Harrison,,Women's Bantamweight,3,Judo,United States,2024-04-13
Virna,Jandiroba,Carcara,Women's Strawweight,3,Jiu-Jitsu,Brazil,2019-04-27
Ketlen,Vieira,Fenomeno,Women's Bantamweight,2,Judo,Brazil,2016-10-02
Amanda,Lemos,,Women's Strawweight,5,Boxing,Brazil,2017-07-16
Marina,Rodriguez,,Women's Strawweight,6,Muay Thai,Brazil,2018-09-23
Amanda,Ribas,,Women's Flyweight,10,Judo,Brazil,2019-06-29
Mackenzie,Dern,,Women's Strawweight,8,Brazilian Jiu-Jitsu,United States,2018-03-03
Angela,Hill,Overkill,Women's Strawweight,9,Muay Thai,United States,2014-12-12
Loopy,Godinez,,Women's Strawweight,10,MMA,Mexico,2021-04-17
Tabatha,Ricci,Baby Shark,Women's Strawweight,11,Judo,Brazil,2021-06-05
Luana,Pinheiro,,Women's Strawweight,12,Judo,Brazil,2021-03-27
Gillian,Robertson,The Savage,Women's Strawweight,13,MMA,Canada,2017-12-01
Iasmin,Lucindo,,Women's Strawweight,14,Striker,Brazil,2022-08-13
Karolina,Kowalkiewicz,,Women's Strawweight,15,MMA,Poland,2015-12-19
Maycee,Barber,The Future,Women's Flyweight,4,Freestyle,United States,2018-11-10
Katlyn,Cerminara,Blonde Fighter,Women's Flyweight,7,MMA,United States,2016-07-14
Natalia,Silva,,Women's Flyweight,8,Taekwondo,Brazil,2022-06-18
Viviane,Araújo,Vivi,Women's Flyweight,9,MMA,Brazil,2019-05-11
Karine,Silva,Killer,Women's Flyweight,11,Brazilian Jiu-Jitsu,Brazil,2022-06-04
Tracy,Cortez,,Women's Flyweight,12,MMA,United States,2019-11-16
Ariane,da Silva,The Queen,Women's Flyweight,13,Striker,Brazil,2019-01-19
Jasmine,Jasudavicius,,Women's Flyweight,14,Brawler,Canada,2022-01-22
Casey,O'Neill,King,Women's Flyweight,15,MMA,Scotland,2021-02-20
Irene,Aldana,,Women's Bantamweight,4,Striker,Mexico,2016-12-18
Macy,Chiasson,,Women's Bantamweight,5,MMA,United States,2018-11-30
Mayra,Bueno Silva,Sheetara,Women's Bantamweight,6,Striker,Brazil,2018-09-23
Holly,Holm,The Preacher's Daughter,Women's Bantamweight,7,Kickboxer,United States,2015-02-28
Norma,Dumont,The Immortal,Women's Bantamweight,8,MMA,Brazil,2020-02-29
Karol,Rosa,,Women's Bantamweight,8,Muay Thai,Brazil,2019-08-31
Miesha,Tate,Cupcake,Women's Bantamweight,8,Grappler,United States,2012-08-19
Pannie,Kianzad,Banzai,Women's Bantamweight,11,MMA,Iran,2018-11-30
Yana,Santos,,Women's Bantamweight,12,MMA,Russia,2018-03-03
Julia,Avila,Raging Panda,Women's Bantamweight,13,MMA,United States,2019-07-06
Chelsea,Chandler,,Women's Bantamweight,14,MMA,United States,2022-10-01
Germaine,de Randamie,The Iron Lady,Women's Bantamweight,15,Muay Thai,Netherlands,2012-08-19
